Run	Assay Type	AvgSpotLen	BioProject	BioSample	BioSampleModel	Center Name	collected_by	Collection_Date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	geo_loc_name	Instrument	Isolation_source	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	version	sample_acc	Sample Name	SRA Study	ww_population	ww_sample_duration	ww_sample_matrix	ww_sample_type	ww_surv_target_1_known_present	ww_surv_target_1	purpose_of_ww_sampling	concentration_method	ww_sample_site	collection_site_id	project_name	ww_flow	Extraction-method	ww_surv_target_1_conc_unit	enrichment_kit (run)	amplicon_size (run)	dehosting_method (run)	ww_surv_target_1_protocol	ww_surv_target_1_gene	ww_surv_target_1_conc	extraction_control	sequenced_by	ww_temperature	purpose_of_ww_sequencing	collection_volume	ww_surv_target_2_conc	ww_surv_target_2_conc_unit	ww_surv_target_2_gene	ww_surv_target_2	Collection_time	ww_surv_target_2_known_present	ww_surv_jurisdiction	ww_population_source	ww_pre_treatment	ww_endog_control_1	instantaneous_flow	ww_ph	ww_total_suspended_solids	ww_endog_control_1_protocol	ww_industrial_effluent_percent	specimen_processing
SRR24156512	AMPLICON	298	PRJNA907019	SAMN34168849	SARS-CoV-2: wastewater surveillance	WA_GT	Washington State Department of Health	2023-03-31	public	"activ_sars2_vcf,sra,fastq,run.zq"	"s3,gs,ncbi"	"ncbi.public,s3.us-east-1,gs.US"	SRX19954557	USA: Washington	Illumina MiSeq	wastewater	WA0919693-WW076-M4796-230411	PAIRED	PCR	VIRAL RNA	wastewater metagenome	ILLUMINA	2023-04-13T00:00:00Z	1	SRS17302278	WA0919693	SRP410879	120000	25	raw wastewater	composite	yes	SARS-CoV-2	public health surveillance community-level	Ceres Nanotrap	wastewater treatment plant	WA0093317	CDC NWSS	7	MagMAX Viral/Pathogen Nucleic Acid Isolation Kit	Copies/L	QIAseq Direct SARS-CoV-2 kit	175-275	SRA human read removal tool	ddPCR detection of SARS-CoV-2 using the BioRad PREvalence Kit on the BioRad QXOne	N gene (N1)	6664632	OC43 Recovery Control	Washington State Department of Health	4.6	Community Surveillance	50 mL	6436815	Copies/L	N gene (N2)	SARS-CoV-2	09:02	yes			No		See ww_flow	Not Collected	Not Collected		10	
SRR24156513	AMPLICON	298	PRJNA907019	SAMN34168848	SARS-CoV-2: wastewater surveillance	WA_GT	Washington State Department of Health	2023-03-31	public	"activ_sars2_vcf,sra,fastq,run.zq"	"gs,ncbi,s3"	"gs.US,s3.us-east-1,ncbi.public"	SRX19954556	USA: Washington	Illumina MiSeq	wastewater	WA0919692-WW076-M4796-230411	PAIRED	PCR	VIRAL RNA	wastewater metagenome	ILLUMINA	2023-04-13T00:00:00Z	1	SRS17302280	WA0919692	SRP410879	225000	06:30	raw wastewater	composite	yes	SARS-CoV-2	public health surveillance community-level	Ceres Nanotrap	wastewater treatment plant	WA0024473	CDC NWSS	27.4	MagMAX Viral/Pathogen Nucleic Acid Isolation Kit	Copies/L	QIAseq Direct SARS-CoV-2 kit	175-275	SRA human read removal tool	ddPCR detection of SARS-CoV-2 using the BioRad PREvalence Kit on the BioRad QXOne	N gene (N1)	2626523	OC43 Recovery Control	Washington State Department of Health	12.6	Community Surveillance	50 mL	3152121	Copies/L	N gene (N2)	SARS-CoV-2	06:30	yes			No		See ww_flow	Not Collected	Not Collected		1.4	
SRR24156514	AMPLICON	298	PRJNA907019	SAMN34168847	SARS-CoV-2: wastewater surveillance	WA_GT	Washington State Department of Health	2023-03-31	public	"activ_sars2_vcf,sra,run.zq,fastq"	"s3,ncbi,gs"	"ncbi.public,gs.US,s3.us-east-1"	SRX19954555	USA: Washington	Illumina MiSeq	wastewater	WA0919691-WW076-M4796-230411	PAIRED	PCR	VIRAL RNA	wastewater metagenome	ILLUMINA	2023-04-13T00:00:00Z	1	SRS17302279	WA0919691	SRP410879	35812	5.5	raw wastewater	composite	yes	SARS-CoV-2	public health surveillance community-level	Ceres Nanotrap	wastewater treatment plant	WA0044652	CDC NWSS	4.2	MagMAX Viral/Pathogen Nucleic Acid Isolation Kit	Copies/L	QIAseq Direct SARS-CoV-2 kit	175-275	SRA human read removal tool	ddPCR detection of SARS-CoV-2 using the BioRad PREvalence Kit on the BioRad QXOne	N gene (N1)	2347750	OC43 Recovery Control	Washington State Department of Health	Not Collected	Community Surveillance	50 mL	2499373	Copies/L	N gene (N2)	SARS-CoV-2	06:55	yes			No		See ww_flow	Not Collected	Not Collected		0	
SRR24156515	AMPLICON	298	PRJNA907019	SAMN34168846	SARS-CoV-2: wastewater surveillance	WA_GT	Washington State Department of Health	2023-03-31	public	"run.zq,activ_sars2_vcf,fastq,sra"	"ncbi,gs,s3"	"s3.us-east-1,gs.US,ncbi.public"	SRX19954554	USA: Washington	Illumina MiSeq	wastewater	WA0919690-WW076-M4796-230411	PAIRED	PCR	VIRAL RNA	wastewater metagenome	ILLUMINA	2023-04-13T00:00:00Z	1	SRS17302277	WA0919690	SRP410879	83000	7	raw wastewater	composite	yes	SARS-CoV-2	public health surveillance community-level	Ceres Nanotrap	wastewater treatment plant	WA0044784	CDC NWSS	5.23	MagMAX Viral/Pathogen Nucleic Acid Isolation Kit	Copies/L	QIAseq Direct SARS-CoV-2 kit	175-275	SRA human read removal tool	ddPCR detection of SARS-CoV-2 using the BioRad PREvalence Kit on the BioRad QXOne	N gene (N1)	7558038	OC43 Recovery Control	Washington State Department of Health	3.1	Community Surveillance	50 mL	8145845	Copies/L	N gene (N2)	SARS-CoV-2	07:00	yes			No		See ww_flow	7.65	320		3	
SRR24156516	AMPLICON	298	PRJNA907019	SAMN34168845	SARS-CoV-2: wastewater surveillance	WA_GT	Washington State Department of Health	2023-03-30	public	"sra,activ_sars2_vcf,run.zq,fastq"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX19954553	USA: Washington	Illumina MiSeq	wastewater	WA0919688-WW076-M4796-230411	PAIRED	PCR	VIRAL RNA	wastewater metagenome	ILLUMINA	2023-04-13T00:00:00Z	1	SRS17302276	WA0919688	SRP410879	43300	Not Collected	raw wastewater	composite	yes	SARS-CoV-2	public health surveillance community-level	Ceres Nanotrap	wastewater treatment plant	WA0037168	CDC NWSS	3.979	MagMAX Viral/Pathogen Nucleic Acid Isolation Kit	Copies/L	QIAseq Direct SARS-CoV-2 kit	175-275	SRA human read removal tool	ddPCR detection of SARS-CoV-2 using the BioRad PREvalence Kit on the BioRad QXOne	N gene (N1)	3849287	OC43 Recovery Control	Washington State Department of Health	7.7	Community Surveillance	50 mL	3931464	Copies/L	N gene (N2)	SARS-CoV-2	05:28	yes			No		See ww_flow	Not Collected	Not Collected		20	
SRR24156517	AMPLICON	298	PRJNA907019	SAMN34168844	SARS-CoV-2: wastewater surveillance	WA_GT	Washington State Department of Health	2023-03-30	public	"run.zq,sra,fastq,activ_sars2_vcf"	"ncbi,gs,s3"	"gs.US,s3.us-east-1,ncbi.public"	SRX19954552	USA: Washington	Illumina MiSeq	wastewater	WA0919687-WW076-M4796-230411	PAIRED	PCR	VIRAL RNA	wastewater metagenome	ILLUMINA	2023-04-13T00:00:00Z	1	SRS17302274	WA0919687	SRP410879	15000	3	raw wastewater	composite	yes	SARS-CoV-2	public health surveillance community-level	Ceres Nanotrap	wastewater treatment plant	WA0051063	CDC NWSS	0.783	MagMAX Viral/Pathogen Nucleic Acid Isolation Kit	Copies/L	QIAseq Direct SARS-CoV-2 kit	175-275	SRA human read removal tool	ddPCR detection of SARS-CoV-2 using the BioRad PREvalence Kit on the BioRad QXOne	N gene (N1)	2398710	OC43 Recovery Control	Washington State Department of Health	11.4	Community Surveillance	50 mL	5615830	Copies/L	N gene (N2)	SARS-CoV-2	12:15	yes			No		See ww_flow	Not Collected	Not Collected		1	
SRR24156518	AMPLICON	298	PRJNA907019	SAMN34168843	SARS-CoV-2: wastewater surveillance	WA_GT	Washington State Department of Health	2023-03-29	public	"sra,run.zq,fastq,activ_sars2_vcf"	"gs,s3,ncbi"	"s3.us-east-1,ncbi.public,gs.US"	SRX19954551	USA: Washington	Illumina MiSeq	wastewater	WA0919686-WW076-M4796-230411	PAIRED	PCR	VIRAL RNA	wastewater metagenome	ILLUMINA	2023-04-13T00:00:00Z	1	SRS17302275	WA0919686	SRP410879	119790	Not Collected	raw wastewater	composite	yes	SARS-CoV-2	public health surveillance community-level	Ceres Nanotrap	wastewater treatment plant	WA0037061	CDC NWSS	11.23	MagMAX Viral/Pathogen Nucleic Acid Isolation Kit	Copies/L	QIAseq Direct SARS-CoV-2 kit	175-275	SRA human read removal tool	ddPCR detection of SARS-CoV-2 using the BioRad PREvalence Kit on the BioRad QXOne	N gene (N1)	6997487	OC43 Recovery Control	Washington State Department of Health	3	Community Surveillance	50 mL	6630732	Copies/L	N gene (N2)	SARS-CoV-2	23:59	yes			No		See ww_flow	Not Collected	Not Collected		3	
SRR24156519	AMPLICON	298	PRJNA907019	SAMN34168842	SARS-CoV-2: wastewater surveillance	WA_GT	Washington State Department of Health	2023-03-30	public	"run.zq,fastq,sra,activ_sars2_vcf"	"ncbi,s3,gs"	"s3.us-east-1,ncbi.public,gs.US"	SRX19954550	USA: Washington	Illumina MiSeq	wastewater	WA0919685-WW076-M4796-230411	PAIRED	PCR	VIRAL RNA	wastewater metagenome	ILLUMINA	2023-04-13T00:00:00Z	1	SRS17302273	WA0919685	SRP410879	117072	6	raw wastewater	composite	yes	SARS-CoV-2	public health surveillance community-level	Ceres Nanotrap	wastewater treatment plant	WA002402	CDC NWSS	7.2	MagMAX Viral/Pathogen Nucleic Acid Isolation Kit	Copies/L	QIAseq Direct SARS-CoV-2 kit	175-275	SRA human read removal tool	ddPCR detection of SARS-CoV-2 using the BioRad PREvalence Kit on the BioRad QXOne	N gene (N1)	4614707	OC43 Recovery Control	Washington State Department of Health	3.89	Community Surveillance	50 mL	4538180	Copies/L	N gene (N2)	SARS-CoV-2	04:00	yes			No		See ww_flow	7.12	400		6	
SRR24156520	AMPLICON	298	PRJNA907019	SAMN34168851	SARS-CoV-2: wastewater surveillance	WA_GT	Washington State Department of Health	2023-03-31	public	"fastq,run.zq,activ_sars2_vcf,sra"	"s3,ncbi,gs"	"gs.US,s3.us-east-1,ncbi.public"	SRX19954549	USA: Washington	Illumina MiSeq	wastewater	WA0919695-WW076-M4796-230411	PAIRED	PCR	VIRAL RNA	wastewater metagenome	ILLUMINA	2023-04-13T00:00:00Z	1	SRS17302272	WA0919695	SRP410879	73000	Not Collected	raw wastewater	composite	yes	SARS-CoV-2	public health surveillance community-level	Ceres Nanotrap	wastewater treatment plant	WA0044962	CDC NWSS	4.656	MagMAX Viral/Pathogen Nucleic Acid Isolation Kit	Copies/L	QIAseq Direct SARS-CoV-2 kit	175-275	SRA human read removal tool	ddPCR detection of SARS-CoV-2 using the BioRad PREvalence Kit on the BioRad QXOne	N gene (N1)	8260688	OC43 Recovery Control	Washington State Department of Health	5.7	Community Surveillance	50 mL	9455902	Copies/L	N gene (N2)	SARS-CoV-2	07:00	yes			No		See ww_flow	7.49	443		9	
SRR24156521	AMPLICON	298	PRJNA907019	SAMN34168850	SARS-CoV-2: wastewater surveillance	WA_GT	Washington State Department of Health	2023-03-31	public	"sra,run.zq,fastq,activ_sars2_vcf"	"s3,ncbi,gs"	"gs.US,ncbi.public,s3.us-east-1"	SRX19954548	USA: Washington	Illumina MiSeq	wastewater	WA0919694-WW076-M4796-230411	PAIRED	PCR	VIRAL RNA	wastewater metagenome	ILLUMINA	2023-04-13T00:00:00Z	1	SRS17302271	WA0919694	SRP410879	295855	04:00	raw wastewater	composite	yes	SARS-CoV-2	public health surveillance community-level	Ceres Nanotrap	wastewater treatment plant	WA0039624	CDC NWSS	18	MagMAX Viral/Pathogen Nucleic Acid Isolation Kit	Copies/L	QIAseq Direct SARS-CoV-2 kit	175-275	SRA human read removal tool	ddPCR detection of SARS-CoV-2 using the BioRad PREvalence Kit on the BioRad QXOne	N gene (N1)	6862367	OC43 Recovery Control	Washington State Department of Health	NA	Community Surveillance	50 mL	6645043	Copies/L	N gene (N2)	SARS-CoV-2	07:30	yes			No		See ww_flow	Not Collected	Not Collected		5	
