SRR,Sublineage,SublineageFrequency
SRR16828363,AY.26,0.67046994
SRR16828363,AY.44,0.10794248
SRR16828363,B.1.267,0.04166670
SRR16828363,B.1.134,0.03488370
SRR16828363,AY.117,0.03483870
SRR16828363,B.1.379,0.02241291
SRR16828363,B.1.617.2,0.01536800
SRR16828363,B.1.413,0.01438850
SRR16828363,AY.103,0.01104970
SRR16828363,B.1.420,0.01069000
SRR16828363,AY.1,0.00554799
SRR16828363,B.1.110,0.00360360
SRR16828363,B.1.223,0.00241546
SRR16828363,AY.82,0.00237906
SRR16828363,AY.9,0.00199402
SRR16828363,AY.62,0.00190840
SRR16828363,AY.110,0.00183824
SRR16828363,B.1.187,0.00178811
SRR16828363,AY.2,0.00174064
SRR16828363,AY.39.3,0.00173310
SRR16828363,B.1.9,0.00152870
SRR16828363,B.1.546,0.00131752
SRR16828364,AY.103,0.59223300
SRR16828364,AY.44,0.12963000
SRR16828364,AY.117,0.08437920
SRR16828364,AY.119,0.08058666
SRR16828364,AY.127,0.01682240
SRR16828364,AY.20,0.01626900
SRR16828364,B.1.379,0.01510070
SRR16828364,AY.87,0.00510204
SRR16828364,AY.92,0.00476016
SRR16828364,B.4.6,0.00471254
SRR16828364,AY.39,0.00409452
SRR16828364,AY.25,0.00395257
SRR16828364,AY.126,0.00316456
SRR16828364,AY.3.1,0.00289855
SRR16828364,B.1.273,0.00281287
SRR16828364,AY.81,0.00209118
SRR16828364,AY.46.1,0.00199601
SRR16828364,AY.105,0.00192678
SRR16828364,AY.4.2.5,0.00160643
SRR16828364,B.4,0.00158348
SRR16828364,B.1.280,0.00149031
SRR16828364,AY.80,0.00149031
SRR16828364,AY.5,0.00142197
SRR16828364,B.18,0.00131579
SRR16828364,AY.4,0.00129212
SRR16828364,AY.29,0.00114679
SRR16828364,AY.99.1,0.00109589
SRR16828364,AY.82,0.00106383
SRR16828364,AY.76,0.00103413
SRR16828365,AY.44,0.32911400
SRR16828365,AY.101,0.21590900
SRR16828365,AY.100,0.17783238
SRR16828365,AY.119,0.09940190
SRR16828365,AY.117,0.07754010
SRR16828365,AY.119.2,0.05314010
SRR16828365,B.1.134,0.01381613
SRR16828365,B.12,0.00704225
SRR16828365,AY.39,0.00664452
SRR16828365,AY.24,0.00471698
SRR16828365,B.1.379,0.00328947
SRR16828365,AY.47,0.00315704
SRR16828365,B.1.335,0.00264901
SRR16828365,B.1.416,0.00208333
SRR16828365,AY.82,0.00207900
SRR16828365,B.1.494,0.00158479
SRR16828366,AY.44,0.65217400
SRR16828366,AY.117,0.19648100
SRR16828366,AY.120,0.07589764
SRR16828366,AY.103,0.02777780
SRR16828366,AY.39,0.01000000
SRR16828366,AY.3,0.00869565
SRR16828366,AY.84,0.00862069
SRR16828366,AY.107,0.00781250
SRR16828366,AY.82,0.00606061
SRR16828366,AY.88,0.00476190
SRR16828366,AY.92,0.00171821
SRR16828367,AY.44,0.48744738
SRR16828367,AY.20,0.26087000
SRR16828367,AY.116,0.08510640
SRR16828367,AY.38,0.03965697
SRR16828367,B.1.442,0.02758620
SRR16828367,AY.117,0.02116400
SRR16828367,B.1.379,0.01923080
SRR16828367,AY.103,0.01818180
SRR16828367,AY.3,0.01355930
SRR16828367,B.1.22,0.01158300
SRR16828367,B.1.420,0.00766284
SRR16828367,AY.46.4,0.00497512
SRR16828367,B.1.161,0.00297619
SRR16828368,AY.44,0.47528463
SRR16828368,B.1.1.355,0.13541700
SRR16828368,AY.103,0.06349210
SRR16828368,AY.25,0.05325316
SRR16828368,AY.38,0.04930560
SRR16828368,AY.47,0.04444440
SRR16828368,AY.39,0.04123710
SRR16828368,B.1.617.2,0.02539896
SRR16828368,B.1.1.136,0.02409640
SRR16828368,AY.5,0.02083330
SRR16828368,AY.117,0.01630430
SRR16828368,B.4,0.01374553
SRR16828368,AY.3.1,0.01000000
SRR16828368,AY.122,0.00912409
SRR16828368,AY.25.1,0.00735294
SRR16828368,B.1.1.192,0.00515464
SRR16828368,AY.92,0.00414938
SRR16828368,B.4.6,0.00140647
SRR16828369,AY.100,0.48598100
SRR16828369,AY.44,0.40546071
